CVE_ID,Tag,iscore,,cvss
CVE-2023-33085,directory traversal,2,,7.8
CVE-2023-33094,directory traversal,2,,8.4
CVE-2023-33108,directory traversal,2,,8.4
CVE-2023-33109,directory traversal,2,,7.5
CVE-2023-33110,directory traversal,2,,7.8
CVE-2023-33112,directory traversal,2,,7.5
CVE-2023-33113,rce,5,,8.4
CVE-2023-33114,directory traversal,2,,8.4
CVE-2023-33116,directory traversal,2,,7.5
CVE-2023-33117,directory traversal,2,,7.8
CVE-2023-33118,directory traversal,2,,7.8
CVE-2023-33120,directory traversal,2,,7.8
CVE-2023-33472,directory traversal,2,,8.8
CVE-2023-34061,rce,5,,7.5
CVE-2023-34087,directory traversal,2,,7.8
CVE-2023-34436,directory traversal,2,,7.8
CVE-2023-35004,directory traversal,2,,7.8
CVE-2023-35057,directory traversal,2,,7.8
CVE-2023-35128,directory traversal,2,,7
CVE-2023-35702,directory traversal,2,,7.8
CVE-2023-35703,directory traversal,2,,7.8
CVE-2023-35704,directory traversal,2,,7.8
CVE-2023-35955,directory traversal,2,,7.8
CVE-2023-35956,directory traversal,2,,7.8
CVE-2023-35957,directory traversal,2,,7.8
CVE-2023-35958,directory traversal,2,,7.8
CVE-2023-35959,cookie injection,1,,7.8
CVE-2023-35960,cookie injection,1,,7.8
CVE-2023-35961,cookie injection,1,,7.8
CVE-2023-35962,cookie injection,1,,7.8
CVE-2023-35963,cookie injection,1,,7.8
CVE-2023-35964,cookie injection,1,,7.8
CVE-2023-35969,directory traversal,2,,7.8
CVE-2023-35970,directory traversal,2,,7.8
CVE-2023-35989,directory traversal,2,,7.8
CVE-2023-35992,directory traversal,2,,7
CVE-2023-35994,directory traversal,2,,7.8
CVE-2023-35995,directory traversal,2,,7.8
CVE-2023-35996,directory traversal,2,,7.8
CVE-2023-35997,directory traversal,2,,7.8
CVE-2023-36629,directory traversal,2,,5.5
CVE-2023-36746,directory traversal,2,,7
CVE-2023-36747,directory traversal,2,,7
CVE-2023-36861,directory traversal,2,,7.8
CVE-2023-36864,directory traversal,2,,7.8
CVE-2023-36915,directory traversal,2,,7.8
CVE-2023-36916,directory traversal,2,,7.8
CVE-2023-37117,directory traversal,2,,9.8
CVE-2023-3726,directory traversal,2,,4.9
CVE-2023-37282,directory traversal,2,,7.8
CVE-2023-37416,directory traversal,2,,7.8
CVE-2023-37417,directory traversal,2,,7.8
CVE-2023-37418,directory traversal,2,,7.8
